Customer;Demand_PNC;Demand_PNC_wi;Demand_WDS;Demand_WDS_wi
1;26.8;26.8;81.7;81.7
2;27.8;27.8;66.8;66.8
3;49.1;49.1;95.4;95.4
4;26.8;26.8;44.4;44.4
5;30.2;30.2;63.5;63.5
6;47.4;47.4;57.7;57.7
7;29.5;29.5;67.0;67.0
8;27.2;27.2;77.1;77.1
9;30.3;30.3;39.9;39.9
10;35.6;35.6;69.2;69.2
11;24.5;24.5;60.7;60.7
12;14.4;14.4;76.5;76.5
13;25.0;25.0;50.4;50.4
14;25.8;25.8;61.8;61.8
15;50.5;50.5;82.6;82.6
16;71.0;71.0;80.3;80.3
17;30.5;30.5;64.0;64.0
18;28.0;28.0;58.3;58.3
19;27.9;27.9;70.6;70.6
20;27.1;27.1;50.8;50.8
21;28.7;28.7;68.4;68.4
22;16.4;16.4;68.4;68.4
23;12.7;12.7;59.7;59.7
24;10.7;10.7;88.3;88.3
25;15.4;15.4;52.7;52.7
