;WDS;PNC;ELEC;ED
WDS;1000;0;
;0
PNC;0;15;0;0
ELEC;0;0;27,02702703;0
ED;0;0;0;4000
WDS, PNC;800;15;0;0
WDS, ELEC;300;0;18,91891892;0
WDS, ELEC;500;0;13,51351351;0
WDS, ELEC;800;0;5,405405405;0
WDS, ED;300;0;0;2800
WDS, ED;500;0;0;2000
WDS, ED;800;0;0;800
PNC, ELEC;0;15;24,32432432;0
PNC, ED;0;15;0;3600
ELEC, ED;0;0;6,756756757;3000
ELEC, ED;0;0;13,51351351;2000
ELEC, ED;0;0;20,27027027;1000
WDS, PNC, ELEC;300;15;16,21621622;0
WDS, PNC, ELEC;500;15;10,81081081;0
WDS, PNC, ELEC;800;15;2,702702703;0
WDS, PNC, ED;300;15;0;2400
WDS, PNC, ED;500;15;0;1600
WDS, PNC, ED;800;15;0;400
WDS, ELEC, ED;300;0;4,054054054;2200
WDS, ELEC, ED;300;0;9,459459459;1400
WDS, ELEC, ED;300;0;14,86486486;600
WDS, ELEC, ED;500;0;4,054054054;1400
WDS, ELEC, ED;500;0;6,756756757;1000
WDS, ELEC, ED;500;0;9,459459459;600
WDS, ELEC, ED;800;0;1,351351351;600
WDS, ELEC, ED;800;0;2,702702703;400
WDS, ELEC, ED;800;0;4,054054054;200
PNC, ELEC, ED;0;15;5,405405405;2800
PNC, ELEC, ED;0;15;12,16216216;1800
PNC, ELEC, ED;0;15;18,91891892;800
WDS, PNC, ELEC, ED;300;15;4,054054054;1800
WDS, PNC, ELEC, ED;300;15;8,108108108;1200
WDS, PNC, ELEC, ED;300;15;12,16216216;600
WDS, PNC, ELEC, ED;500;15;2,702702703;1200
WDS, PNC, ELEC, ED;500;15;5,405405405;800
WDS, PNC, ELEC, ED;500;15;8,108108108;400
WDS, PNC, ELEC, ED;800;15;1,351351351;200
