Customer;Demand_PNC;Demand_PNC_wi;Demand_WDS;Demand_WDS_wi
1;27,14367317;13,57183659;163,1484208;130,5187366
2;19,4554229;9,727711449;130,4325163;104,346013
3;18,44922173;9,224610863;175,073141;140,0585128
4;16,96774002;8,48387001;127,5235867;102,0188694
5;15,64784962;7,823924809;125,2625543;100,2100435
6;13,65870686;6,829353428;97,87184731;78,29747785
7;13,61287422;6,806437111;120,9163196;96,73305569
8;13,43044914;6,715224571;130,5033883;104,4027106
9;12,95681007;6,478405037;65,19305014;52,15444011
10;12,77686092;6,388430462;103,4118718;82,72949744
11;11,48850693;5,744253464;95,65330614;76,52264491
12;11,27212963;5,636064816;84,20369999;67,36295999
13;11,24318283;5,621591415;140,7326685;112,5861348
14;10,79132065;5,395660324;113,447707;90,75816556
15;10,57982834;5,289914169;132,4110465;105,9288372
16;10,4063414;5,2031707;78,43375696;62,74700557
17;10,07513229;5,037566147;116,5386947;93,23095578
18;9,491311264;5;99,71765946;79,77412757
19;9,313786926;5;127,5474662;102,037973
20;8,007726517;5;95,34682302;76,27745841
21;6,938486252;5;100,7730476;80,61843804
22;5,951131058;5;85,28585246;68,22868197
23;5,932455978;5;102,185373;81,74829841
24;5,70282795;5;47,49542277;37,99633822
25;4,976354942;5;56,76912979;45,41530384
26;4,708962784;5;102,2286652;81,78293218
27;4,493725586;5;81,11463512;64,89170809
28;1,910592194;5;53,44791875;42,758335
29;1,741109695;5;66,50826265;53,20661012
30;1,475332336;5;114,3660662;91,49285294
