;WDS;PNC;ELEC;ED
WDS;1000;0;0;0
PNC;0;40;0;0
ELEC;0;0;5406;0
ED;0;0;0;4000
WDS, PNC;800;40;0;0
WDS, ELEC;300;0;3784;0
WDS, ELEC;500;0;2702;0
WDS, ELEC;800;0;1082;0
WDS, ED;300;0;0;2800
WDS, ED;500;0;0;2000
WDS, ED;800;0;0;800
PNC, ELEC;0;40;4864;0
PNC, ED;0;40;0;3600
ELEC, ED;0;0;1352;3000
ELEC, ED;0;0;2702;2000
ELEC, ED;0;0;4054;1000
WDS, PNC, ELEC;300;40;3244;0
WDS, PNC, ELEC;500;40;2162;0
WDS, PNC, ELEC;800;40;540;0
WDS, PNC, ED;300;40;0;2400
WDS, PNC, ED;500;40;0;1600
WDS, PNC, ED;800;40;0;400
WDS, ELEC, ED;300;0;810;2200
WDS, ELEC, ED;300;0;1892;1400
WDS, ELEC, ED;300;0;2972;600
WDS, ELEC, ED;500;0;810;1400
WDS, ELEC, ED;500;0;1352;1000
WDS, ELEC, ED;500;0;1892;600
WDS, ELEC, ED;800;0;270;600
WDS, ELEC, ED;800;0;540;400
WDS, ELEC, ED;800;0;810;200
PNC, ELEC, ED;0;40;1082;2800
PNC, ELEC, ED;0;40;2432;1800
PNC, ELEC, ED;0;40;3784;800
WDS, PNC, ELEC, ED;300;40;810;1800
WDS, PNC, ELEC, ED;300;40;1622;1200
WDS, PNC, ELEC, ED;300;40;2432;600
WDS, PNC, ELEC, ED;500;40;540;1200
WDS, PNC, ELEC, ED;500;40;1082;800
WDS, PNC, ELEC, ED;500;40;1622;400
WDS, PNC, ELEC, ED;800;40;270;200
