FROM_ID;TO_ID;DURATION_H;DIST_KM
1;1;0;0
1;2;1,820305556;68,79668
1;3;1,856175;58,66347
1;4;1,715808333;51,64521
1;5;1,392508333;53,62316
1;6;1,128147222;41,08948
1;7;1,606036111;71,38894
1;8;1,983969444;71,36699
1;9;0,779861111;23,6403
1;10;1,435733333;43,32614
1;11;1,496408333;57,18127
1;12;1,321461111;32,38719
1;13;1,456833333;55,03545
1;14;1,928472222;72,60079
1;15;1,285011111;55,91359
1;16;1,254144444;51,40471
1;17;0,885413889;26,56252
1;18;1,836058333;70,32891
1;19;2,042383333;75,01551
1;20;0,636013889;19,08049
1;21;0,597647222;17,92954
1;22;1,370533333;40,23338
1;23;1,614758333;66,43663
1;24;1,537519444;64,2249
1;25;0,620944444;18,62841
1;26;1,392122222;36,95387
1;27;1,742988889;64,18871
1;28;0,866472222;25,9943
1;29;0,56725;16,97812
1;30;1,987752778;73,82009
1;31;1,392936111;42,27745
1;32;1,87955;78,16133
1;33;0,852638889;24,45699
1;34;1,55675;68,7831
1;35;1,815086111;68,19659
1;36;1,957069444;63,30046
1;37;1,271883333;47,54417
1;38;0,639236111;19,42157
1;39;1,836725;73,79016
1;40;1,011844444;37,20419
1;41;1,025736111;29,35108
1;42;1,375869444;52,73935
1;43;1,570525;73,38808
1;44;1,588008333;43,94898
1;45;1,644738889;63,96141
1;0;0,809661111;23,53246
2;1;1,820305556;68,79668
2;2;0;0
2;3;0,457511111;16,6185
2;4;0,588866667;18,45179
2;5;1,671780556;60,85046
2;6;1,407419444;48,31677
2;7;1,885308333;78,61623
2;8;1,602797222;63,62352
2;9;1,740611111;72,83929
2;10;2,144261111;79,69377
2;11;1,095863889;36,94187
2;12;2,131133333;77,02614
2;13;1,160422222;41,82663
2;14;0,660261111;19,80797
2;15;1,564280556;63,14089
2;16;0,846352778;30,65103
2;17;2,270886111;88,99198
2;18;1,428263889;49,57522
2;19;0,961072222;37,74506
2;20;2,021202778;81,50148
2;21;2,198216667;79,99682
2;22;0,461275;13,57042
2;23;1,894030556;73,66392
2;24;1,129725;43,47122
2;25;2,006416667;81,05788
2;26;1,671394444;44,18116
2;27;1,464466667;51,63738
2;28;2,251663889;88,4153
2;29;1,759044444;66,95883
2;30;0,454952778;13,64863
2;31;1,865777778;67,72682
2;32;1,471758333;57,40764
2;33;1,069086111;46,13465
2;34;1,662275;74,807
2;35;0,742047222;24,3679
2;36;0,830127778;30,10705
2;37;1,551155556;54,77146
2;38;1,5772;61,83136
2;39;0,386125;11,58379
2;40;0,808491667;31,59441
2;41;1,771113889;68,2504
2;42;0,444444444;16,05767
2;43;1,162730556;52,63439
2;44;2,521827778;90,72736
2;45;1,199655556;40,29179
2;0;1,031830556;45,58201
3;1;1,856175;58,66347
3;2;0,457511111;16,6185
3;3;0;0
3;4;0,245716667;12,28601
3;5;1,696327778;65,71563
3;6;1,431966667;53,18195
3;7;1,909855556;83,48141
3;8;1,337738889;57,01777
3;9;1,828419444;82,86748
3;10;2,168811111;84,55895
3;11;1,183669444;46,97006
3;12;2,155683333;81,89131
3;13;1,248227778;51,85482
3;14;0,510583333;18,21075
3;15;1,588830556;68,00606
3;16;0,934158333;40,67922
3;17;2,358691667;99,02018
3;18;1,516069444;59,60342
3;19;0,811394444;36,14784
3;20;2,109008333;91,52968
3;21;2,234083333;69,86362
3;22;0,485822222;18,4356
3;23;1,860058333;87,93149
3;24;1,217530556;53,49941
3;25;2,094222222;91,08607
3;26;1,695941667;49,04634
3;27;1,552272222;61,66557
3;28;2,339469444;98,44349
3;29;1,794913889;56,82563
3;30;0,871705556;33,54525
3;31;1,890325;72,59199
3;32;1,559563889;67,43584
3;33;1,156891667;56,16285
3;34;1,397216667;68,20125
3;35;0,829852778;34,3961
3;36;0,486980556;23,94127
3;37;1,575702778;59,63664
3;38;1,665005556;71,85955
3;39;0,221830556;9,54798
3;40;0,896297222;41,62261
3;41;1,795661111;73,11557
3;42;0,53225;26,08586
3;43;1,250536111;62,66259
3;44;2,546377778;95,59253
3;45;1,287461111;50,31998
3;0;1,115072222;37,12832
4;1;1,715808333;51,64521
4;2;0,588866667;18,45179
4;3;0,245716667;12,28601
4;4;0;0
4;5;1,555963889;58,69736
4;6;1,291602778;46,16368
4;7;1,675719444;85,15386
4;8;1,092075;44,73438
4;9;2,07395;95,14417
4;10;2,028444444;77,54068
4;11;1,429202778;59,24675
4;12;2,015316667;74,87305
4;13;1,493758333;64,13152
4;14;0,756113889;30,48744
4;15;1,354694444;69,67852
4;16;1,179688889;52,95591
4;17;2,600591667;78,18887
4;18;1,7616;71,88011
4;19;1,056927778;48,42454
4;20;2,351191667;70,70684
4;21;2,093716667;62,84534
4;22;0,345455556;11,41733
4;23;1,614391667;75,6481
4;24;1,463061111;65,7761
4;25;2,336125;70,25475
4;26;1,555575;42,02807
4;27;1,797805556;73,94227
4;28;2,581652778;77,62065
4;29;1,654547222;49,80736
4;30;0,994941667;30,63409
4;31;1,749958333;65,57373
4;32;1,805094444;79,71252
4;33;1,017680556;31,03457
4;34;1,15155;55,91786
4;35;1,075383333;46,67279
4;36;0,241313889;11,65788
4;37;1,435336111;52,61837
4;38;1,910538889;84,13625
4;39;0,467361111;21,82468
4;40;1,141827778;53,8993
4;41;1,655294444;66,0973
4;42;0,777780556;38,36255
4;43;1,496069444;74,93927
4;44;2,406011111;88,57427
4;45;1,532991667;62,59667
4;0;0,974705556;30,11005
5;1;1,392508333;53,62316
5;2;1,671780556;60,85046
5;3;1,696327778;65,71563
5;4;1,555963889;58,69736
5;5;0;0
5;6;0,505355556;18,04955
5;7;0,7692;34,43603
5;8;0,591533333;17,74605
5;9;1,939608333;97,00821
5;10;1,181838889;45,50309
5;11;1,348877778;66,4339
5;12;1,168713889;42,83546
5;13;1,359419444;65,99555
5;14;1,780938889;81,85342
5;15;0,448175;18,96069
5;16;1,106613889;60,65735
5;17;2,277294444;80,16682
5;18;1,688525;79,58155
5;19;1,894852778;84,26814
5;20;2,027894444;72,68479
5;21;1,360269444;50,31879
5;22;1,210688889;47,28553
5;23;0,777922222;29,48372
5;24;1,389986111;73,47754
5;25;2,012825;72,2327
5;26;0,974688889;24,76753
5;27;1,663463889;75,8063
5;28;2,258355556;79,5986
5;29;1,081033333;41,94162
5;30;1,840222222;83,07273
5;31;0,749669444;23,54662
5;32;1,732019444;87,41396
5;33;0,705105556;33,70962
5;34;0,641916667;17,9838
5;35;1,667555556;77,44923
5;36;1,378455556;54,76666
5;37;0,588733333;20,58079
5;38;1,776197222;86,00028
5;39;1,689194444;83,0428
5;40;0,864311111;46,45682
5;41;0,808691667;34,05972
5;42;1,228338889;61,99198
5;43;1,422994444;82,64071
5;44;1,559405556;56,53668
5;45;1,497208333;73,21404
5;0;0,662130556;32,7851
6;1;1,128147222;41,08948
6;2;1,407419444;48,31677
6;3;1,431966667;53,18195
6;4;1,291602778;46,16368
6;5;0,505355556;18,04955
6;6;0;0
6;7;0,718883333;35,81533
6;8;1,096813889;35,79339
6;9;1,675247222;84,47453
6;10;0,977836111;36,89287
6;11;1,084516667;53,90022
